id,uptodate,state,race_id_last_race,date_last_race,name,country,age,color,owner,sire,dam,dam_sire,sex,Total_races,Wins,Percentage_wins,placed,Percentage_placed,Flat_AW_races,Flat_AW_wins,Flat_AW_rate,Flat_AW_placed,Flat_AW_placed_rate,Flat_Turf_races,Flat_Turf_wins,Flat_Turf_rate,Flat_Turf_placed,Flat_Turf_placed_rate,Chase_races,Chase_wins,Chase_rate,Chase_placed,Chase_placed_rate,Hurdle_races,Hurdle_wins,Hurdle_rate,Hurdle_placed,Hurdle_placed_rate
92399,2025-08-25,Active,183495,2025-08-26,Sir Rodneyredblood,GB,8,chestnut,Mrs Claire Goddard,Roderic O'connor (IRE),Red Blooded Woman (USA),Red Ransom (USA),gelding,100.0,16.0,16.00%,32.0,32.00%,83.0,15.0,18.07%,29.0,34.94%,17.0,1.0,5.88%,3.0,17.65%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
94026,2025-08-25,Active,183505,2025-08-26,Temper Trap,GB,8,brown,Ontoawinner 10 & Partner,Slade Power (IRE),Sloane Square (UK),Teofilo (IRE),gelding,84.0,14.0,16.67%,18.0,21.43%,3.0,0.0,0.00%,0.0,0%,76.0,14.0,18.42%,18.0,23.68%,0.0,0.0,0%,0.0,0%,5.0,0.0,0.00%,0.0,0%
94028,2025-08-25,Active,183488,2025-08-26,Throne Hall,GB,8,bay,The Real Quiz,Kingman (UK),Appearance (UK),Galileo (IRE),gelding,54.0,6.0,11.11%,9.0,16.67%,9.0,0.0,0.00%,2.0,22.22%,34.0,4.0,11.76%,8.0,23.53%,0.0,0.0,0%,0.0,0%,11.0,2.0,18.18%,1.0,9.09%
94356,2025-08-25,Active,183496,2025-08-26,Dandys Angel,IRE,8,bay,Anthony Ross And David Lumley,Dandy Man (IRE),Party Pipit (IRE),Desert Party (USA),mare,83.0,11.0,13.25%,28.0,33.73%,6.0,0.0,0.00%,2.0,33.33%,77.0,11.0,14.29%,26.0,33.77%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
94911,2025-08-25,Active,183501,2025-08-26,Dereham,GB,9,bay,Emma Berry,Sir Percy (UK),Desiree (IRE),Desert Story (IRE),gelding,36.0,5.0,13.89%,9.0,25.00%,7.0,0.0,0.00%,1.0,14.29%,29.0,5.0,17.24%,8.0,27.59%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
95701,2025-08-25,Active,183515,2025-08-26,Curious Bride,IRE,8,bay,Sheoda Racing Partnership,Excelebration (IRE),Padma (UK),Three Valleys (USA),mare,50.0,5.0,10.00%,11.0,22.00%,16.0,0.0,0.00%,5.0,31.25%,26.0,4.0,15.38%,5.0,19.23%,0.0,0.0,0%,0.0,0%,8.0,1.0,12.50%,1.0,12.50%
95893,2025-08-25,Active,183515,2025-08-26,Zanahiyr,IRE,8,chestnut,Bective Stud,Nathaniel (IRE),Zariyna (IRE),Marju (IRE),gelding,36.0,8.0,22.22%,10.0,27.78%,0.0,0.0,0%,0.0,0%,7.0,1.0,14.29%,1.0,14.29%,8.0,2.0,25.00%,2.0,25.00%,21.0,5.0,23.81%,7.0,33.33%
97442,2025-08-25,Active,183510,2025-08-26,Navorrosse,IRE,8,bay,Joe Hanna,Worthadd (IRE),Just One Smile (IRE),Desert Prince (IRE),mare,53.0,3.0,5.66%,11.0,20.75%,9.0,0.0,0.00%,2.0,22.22%,44.0,3.0,6.82%,9.0,20.45%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
98678,2025-08-25,Active,183510,2025-08-26,Jazz Dreamers,IRE,7,bay,Mrs Helen Butler & Gerard P O'Neill,Red Jazz (USA),Regal Ribbon (UK),Lawman (FR),gelding,37.0,3.0,8.11%,9.0,24.32%,6.0,0.0,0.00%,1.0,16.67%,31.0,3.0,9.68%,8.0,25.81%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
100133,2025-08-25,Active,183509,2025-08-26,Leabaland,IRE,8,brown,Mrs S Lynch,Cappella Sansevero (UK),Adatara (IRE),Celtic Swing (UK),gelding,42.0,3.0,7.14%,7.0,16.67%,15.0,1.0,6.67%,5.0,33.33%,23.0,2.0,8.70%,2.0,8.70%,0.0,0.0,0%,0.0,0%,4.0,0.0,0.00%,0.0,0%
101261,2025-08-25,Active,183499,2025-08-26,Kats Bob,GB,7,chestnut,Colin Dorman And Tommy Dorman,Bobby's Kitten (USA),Dreaming Of Stella (IRE),Giant's Causeway (USA),gelding,66.0,12.0,18.18%,20.0,30.30%,20.0,5.0,25.00%,5.0,25.00%,46.0,7.0,15.22%,15.0,32.61%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
102177,2025-08-25,Active,183509,2025-08-26,My Minervina,IRE,7,bay,Jason Trotter,Holy Roman Emperor (IRE),Are You Mine (IRE),Nayef (USA),mare,26.0,3.0,11.54%,7.0,26.92%,3.0,0.0,0.00%,2.0,66.67%,23.0,3.0,13.04%,5.0,21.74%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
102846,2025-08-25,Active,183510,2025-08-26,The Bog Bank,IRE,8,bay,Hugh J O'Brien & Loughlin Flynn & J B Tolan,Epaulette (AUS),Theother Haaf (UK),Alhaarth (IRE),mare,83.0,7.0,8.43%,24.0,28.92%,40.0,2.0,5.00%,15.0,37.50%,43.0,5.0,11.63%,9.0,20.93%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
104047,2025-08-25,Active,183510,2025-08-26,Dinamine,IRE,7,chestnut,Sean F Finnegan,Red Jazz (USA),Pardoned (IRE),Mujadil (USA),gelding,44.0,1.0,2.27%,12.0,27.27%,14.0,0.0,0.00%,2.0,14.29%,27.0,1.0,3.70%,10.0,37.04%,0.0,0.0,0%,0.0,0%,3.0,0.0,0.00%,0.0,0%
104558,2025-08-25,Active,183488,2025-08-26,Eagle One,GB,7,bay,Willy Twiston-Davies,Gleneagles (IRE),Gloryette (UK),Raven's Pass (USA),gelding,33.0,3.0,9.09%,13.0,39.39%,21.0,2.0,9.52%,8.0,38.10%,12.0,1.0,8.33%,5.0,41.67%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
105411,2025-08-25,Active,183504,2025-08-26,Sixcor,GB,7,bay,Linda Perratt Racing,Sixties Icon (UK),Roccor (UK),Rock Of Gibraltar (IRE),gelding,82.0,8.0,9.76%,26.0,31.71%,15.0,1.0,6.67%,2.0,13.33%,67.0,7.0,10.45%,24.0,35.82%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
