Trainer_ID,UptoDate,Name,Total_races,Wins,Percentage_wins,Placed,Percentage_placed,Flat_AW_races,Flat_AW_wins,Flat_AW_rate,Flat_AW_placed,Flat_AW_placed_rate,Flat_Turf_races,Flat_Turf_wins,Flat_Turf_rate,Flat_Turf_placed,Flat_Turf_placed_rate,Chase_races,Chase_wins,Chase_rate,Chase_placed,Chase_placed_rate,Hurdle_races,Hurdle_wins,Hurdle_rate,Hurdle_placed,Hurdle_placed_rate
980,2025-08-25,J J Walsh,2127,136,6.39%,517,24.31%,12,2,16.67%,3,25.00%,586,34,5.80%,172,29.35%,318,16,5.03%,72,22.64%,1211,84,6.94%,270,22.30%
981,2025-08-25,P R Lenihan,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
982,2025-08-25,M O Quigley,87,2,2.30%,11,12.64%,0,0,0%,0,0%,15,0,0%,4,26.67%,30,1,3.33%,6,20.00%,42,1,2.38%,1,2.38%
983,2025-08-25,Mrs M Flavin,24,0,0%,1,4.17%,0,0,0%,0,0%,1,0,0%,0,0%,0,0,0%,0,0%,23,0,0%,1,4.35%
984,2025-08-25,R Pugh,14,0,0%,5,35.71%,0,0,0%,0,0%,3,0,0%,1,33.33%,11,0,0%,4,36.36%,0,0,0%,0,0%
985,2025-08-25,D Leahy,187,6,3.21%,28,14.97%,5,0,0%,3,60.00%,54,0,0%,9,16.67%,12,1,8.33%,0,0%,116,5,4.31%,16,13.79%
986,2025-08-25,D Buckley,85,2,2.35%,18,21.18%,11,0,0%,2,18.18%,54,2,3.70%,15,27.78%,2,0,0%,0,0%,18,0,0%,1,5.56%
987,2025-08-25,I J Hannon,6,0,0%,1,16.67%,0,0,0%,0,0%,1,0,0%,0,0%,4,0,0%,0,0%,1,0,0%,1,100.00%
988,2025-08-25,T Cleary,1094,44,4.02%,228,20.84%,280,13,4.64%,67,23.93%,605,26,4.30%,123,20.33%,35,0,0%,4,11.43%,174,5,2.87%,34,19.54%
989,2025-08-25,C W Thornton,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
990,2025-08-25,Mrs A Duffield,2738,229,8.36%,849,31.01%,686,46,6.71%,195,28.43%,1967,173,8.80%,622,31.62%,15,4,26.67%,8,53.33%,70,6,8.57%,24,34.29%
991,2025-08-25,A G Blackmore,125,8,6.40%,46,36.80%,2,0,0%,0,0%,2,0,0%,0,0%,9,0,0%,3,33.33%,112,8,7.14%,43,38.39%
992,2025-08-25,Mrs C J Ikin,37,0,0%,3,8.11%,1,0,0%,0,0%,1,0,0%,0,0%,9,0,0%,1,11.11%,26,0,0%,2,7.69%
993,2025-08-25,Miss Morgan,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
994,2025-08-25,R C Crosby,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
995,2025-08-25,S Slevin,336,9,2.68%,60,17.86%,5,0,0%,0,0%,56,0,0%,7,12.50%,56,3,5.36%,11,19.64%,217,6,2.76%,42,19.35%
996,2025-08-25,Miss J Western,32,3,9.38%,5,15.63%,0,0,0%,0,0%,0,0,0%,0,0%,32,3,9.38%,5,15.63%,0,0,0%,0,0%
997,2025-08-25,Mrs C Hobbs,2,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,2,0,0%,0,0%,0,0,0%,0,0%
998,2025-08-25,D J Staddon,3,1,33.33%,2,66.67%,0,0,0%,0,0%,0,0,0%,0,0%,3,1,33.33%,2,66.67%,0,0,0%,0,0%
999,2025-08-25,Mrs S P George,3,1,33.33%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,3,1,33.33%,0,0%,0,0,0%,0,0%
1000,2025-08-25,Mrs D Buckett,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1001,2025-08-25,Ms A E Embiricos,12,0,0%,0,0%,0,0,0%,0,0%,7,0,0%,0,0%,3,0,0%,0,0%,2,0,0%,0,0%
1002,2025-08-25,Mrs Jenny Gordon,9,0,0%,3,33.33%,0,0,0%,0,0%,0,0,0%,0,0%,9,0,0%,3,33.33%,0,0,0%,0,0%
1003,2025-08-25,Harry Chisman,194,5,2.58%,36,18.56%,49,2,4.08%,10,20.41%,27,0,0%,7,25.93%,18,0,0%,2,11.11%,100,3,3.00%,17,17.00%
1004,2025-08-25,John Allen,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1005,2025-08-25,A E Jessop,72,2,2.78%,7,9.72%,0,0,0%,0,0%,0,0,0%,0,0%,21,1,4.76%,2,9.52%,51,1,1.96%,5,9.80%
1006,2025-08-25,I McMath,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1007,2025-08-25,C R Cox,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1008,2025-08-25,Mrs S K McCain,7,2,28.57%,2,28.57%,0,0,0%,0,0%,0,0,0%,0,0%,7,2,28.57%,2,28.57%,0,0,0%,0,0%
1009,2025-08-25,Andrew Richardson,5,0,0%,3,60.00%,0,0,0%,0,0%,0,0,0%,0,0%,5,0,0%,3,60.00%,0,0,0%,0,0%
1010,2025-08-25,P York,196,10,5.10%,51,26.02%,4,0,0%,0,0%,12,0,0%,2,16.67%,89,7,7.87%,29,32.58%,91,3,3.30%,20,21.98%
1011,2025-08-25,G D Hanmer,689,82,11.90%,235,34.11%,36,1,2.78%,5,13.89%,95,8,8.42%,28,29.47%,279,41,14.70%,119,42.65%,279,32,11.47%,83,29.75%
1012,2025-08-25,Nick Kent,752,45,5.98%,251,33.38%,17,0,0%,2,11.76%,132,4,3.03%,37,28.03%,215,18,8.37%,79,36.74%,388,23,5.93%,133,34.28%
1013,2025-08-25,C P Coyle,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1014,2025-08-25,M J McDonagh,761,41,5.39%,165,21.68%,0,0,0%,0,0%,11,0,0%,0,0%,289,26,9.00%,73,25.26%,461,15,3.25%,92,19.96%
1015,2025-08-25,J Fox,57,1,1.75%,7,12.28%,0,0,0%,0,0%,5,0,0%,0,0%,14,0,0%,3,21.43%,38,1,2.63%,4,10.53%
1016,2025-08-25,Mrs C Harrison,104,6,5.77%,19,18.27%,0,0,0%,0,0%,32,3,9.38%,4,12.50%,0,0,0%,0,0%,72,3,4.17%,15,20.83%
1017,2025-08-25,A Oliver,2715,249,9.17%,730,26.89%,592,79,13.34%,160,27.03%,2043,162,7.93%,552,27.02%,2,0,0%,2,100.00%,78,8,10.26%,16,20.51%
1018,2025-08-25,Peter L Kavanagh,43,1,2.33%,10,23.26%,0,0,0%,0,0%,1,0,0%,0,0%,25,1,4.00%,6,24.00%,17,0,0%,4,23.53%
1019,2025-08-25,Michael F Kearney,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1020,2025-08-25,W P Murphy,347,19,5.48%,75,21.61%,0,0,0%,0,0%,53,1,1.89%,10,18.87%,126,7,5.56%,31,24.60%,168,11,6.55%,34,20.24%
1021,2025-08-25,W G McMahon,20,0,0%,2,10.00%,0,0,0%,0,0%,3,0,0%,0,0%,5,0,0%,0,0%,12,0,0%,2,16.67%
1022,2025-08-25,M A Peill,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1023,2025-08-25,N P Moore,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1024,2025-08-25,Miss C Roddick,14,2,14.29%,2,14.29%,0,0,0%,0,0%,0,0,0%,0,0%,14,2,14.29%,2,14.29%,0,0,0%,0,0%
1025,2025-08-25,R Woollacott,639,49,7.67%,210,32.86%,0,0,0%,0,0%,29,4,13.79%,11,37.93%,215,17,7.91%,75,34.88%,395,28,7.09%,124,31.39%
1026,2025-08-25,J W Dufosee,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1027,2025-08-25,Mrs A S Hodges,7,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,7,0,0%,0,0%,0,0,0%,0,0%
1028,2025-08-25,Mrs P J Shaw,38,0,0%,9,23.68%,0,0,0%,0,0%,4,0,0%,2,50.00%,23,0,0%,4,17.39%,11,0,0%,3,27.27%
1029,2025-08-25,B Sanderson,5,1,20.00%,2,40.00%,0,0,0%,0,0%,0,0,0%,0,0%,5,1,20.00%,2,40.00%,0,0,0%,0,0%
1030,2025-08-25,A J Farrant,2,0,0%,1,50.00%,0,0,0%,0,0%,0,0,0%,0,0%,2,0,0%,1,50.00%,0,0,0%,0,0%
1031,2025-08-25,Mrs Mandy Hand,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1032,2025-08-25,D Broad,563,18,3.20%,91,16.16%,99,7,7.07%,11,11.11%,206,4,1.94%,23,11.17%,79,2,2.53%,23,29.11%,179,5,2.79%,34,18.99%
1033,2025-08-25,Ms M Blake,8,1,12.50%,1,12.50%,0,0,0%,0,0%,6,1,16.67%,1,16.67%,0,0,0%,0,0%,2,0,0%,0,0%
1034,2025-08-25,H Smyth,322,12,3.73%,49,15.22%,1,0,0%,0,0%,29,0,0%,2,6.90%,47,2,4.26%,17,36.17%,245,10,4.08%,30,12.24%
1035,2025-08-25,L W Doran,7,0,0%,2,28.57%,0,0,0%,0,0%,3,0,0%,1,33.33%,1,0,0%,0,0%,3,0,0%,1,33.33%
1036,2025-08-25,B M R Haslam,2371,251,10.59%,714,30.11%,639,61,9.55%,195,30.52%,877,79,9.01%,273,31.13%,317,46,14.51%,86,27.13%,538,65,12.08%,160,29.74%
1037,2025-08-25,Mrs Alison Christmas,5,1,20.00%,1,20.00%,0,0,0%,0,0%,0,0,0%,0,0%,5,1,20.00%,1,20.00%,0,0,0%,0,0%
1038,2025-08-25,Miss Kelda Wood,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1039,2025-08-25,J Gallagher,1858,159,8.56%,507,27.29%,528,38,7.20%,138,26.14%,1301,121,9.30%,362,27.82%,2,0,0%,0,0%,27,0,0%,7,25.93%
1040,2025-08-25,Andrew Reid,277,23,8.30%,81,29.24%,165,17,10.30%,52,31.52%,92,5,5.43%,28,30.43%,0,0,0%,0,0%,20,1,5.00%,1,5.00%
1041,2025-08-25,Mrs A Rucker,10,0,0%,4,40.00%,0,0,0%,0,0%,0,0,0%,0,0%,10,0,0%,4,40.00%,0,0,0%,0,0%
1042,2025-08-25,Mrs K Smyly,23,1,4.35%,5,21.74%,0,0,0%,0,0%,0,0,0%,0,0%,23,1,4.35%,5,21.74%,0,0,0%,0,0%
1043,2025-08-25,Miss Curran,1,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,1,0,0%,0,0%,0,0,0%,0,0%
1044,2025-08-25,V Clynch,10,0,0%,2,20.00%,0,0,0%,0,0%,6,0,0%,2,33.33%,0,0,0%,0,0%,4,0,0%,0,0%
1045,2025-08-25,J Monroe,149,8,5.37%,22,14.77%,0,0,0%,0,0%,7,0,0%,0,0%,66,5,7.58%,12,18.18%,76,3,3.95%,10,13.16%
1046,2025-08-25,P F McEnery,377,12,3.18%,68,18.04%,58,2,3.45%,12,20.69%,240,8,3.33%,46,19.17%,7,0,0%,2,28.57%,72,2,2.78%,8,11.11%
1047,2025-08-25,Bernard Jones,48,2,4.17%,12,25.00%,0,0,0%,0,0%,5,0,0%,0,0%,30,2,6.67%,11,36.67%,13,0,0%,1,7.69%
1048,2025-08-25,Colin Bowe,1272,124,9.75%,404,31.76%,4,0,0%,2,50.00%,222,21,9.46%,61,27.48%,312,38,12.18%,114,36.54%,730,64,8.77%,226,30.96%
1049,2025-08-25,N Carolan,124,1,0.81%,25,20.16%,17,0,0%,2,11.76%,44,1,2.27%,8,18.18%,4,0,0%,0,0%,59,0,0%,15,25.42%
1050,2025-08-25,P Lacey,9,0,0%,0,0%,1,0,0%,0,0%,4,0,0%,0,0%,0,0,0%,0,0%,4,0,0%,0,0%
1051,2025-08-25,Miss C J E Caroe,43,0,0%,6,13.95%,0,0,0%,0,0%,1,0,0%,0,0%,11,0,0%,0,0%,31,0,0%,6,19.35%
1052,2025-08-25,R M Stronge,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1053,2025-08-25,S Rea,56,1,1.79%,13,23.21%,0,0,0%,0,0%,0,0,0%,0,0%,56,1,1.79%,13,23.21%,0,0,0%,0,0%
1054,2025-08-25,R Barber,18,6,33.33%,5,27.78%,0,0,0%,0,0%,0,0,0%,0,0%,18,6,33.33%,5,27.78%,0,0,0%,0,0%
1055,2025-08-25,R D Lee,3,0,0%,0,0%,0,0,0%,0,0%,1,0,0%,0,0%,1,0,0%,0,0%,1,0,0%,0,0%
1056,2025-08-25,J C Shearman,36,0,0%,2,5.56%,8,0,0%,1,12.50%,13,0,0%,1,7.69%,3,0,0%,0,0%,12,0,0%,0,0%
1057,2025-08-25,M Flannery,422,10,2.37%,59,13.98%,7,0,0%,0,0%,137,3,2.19%,13,9.49%,20,0,0%,5,25.00%,258,7,2.71%,41,15.89%
1058,2025-08-25,Thomas G Walsh,24,3,12.50%,12,50.00%,0,0,0%,0,0%,3,1,33.33%,2,66.67%,0,0,0%,0,0%,21,2,9.52%,10,47.62%
1059,2025-08-25,K A Heffernan,137,2,1.46%,14,10.22%,7,0,0%,1,14.29%,35,0,0%,3,8.57%,3,0,0%,0,0%,92,2,2.17%,10,10.87%
1060,2025-08-25,J I Mulhern,47,1,2.13%,7,14.89%,1,0,0%,0,0%,33,1,3.03%,6,18.18%,0,0,0%,0,0%,13,0,0%,1,7.69%
1061,2025-08-25,Donncha Duggan,213,10,4.69%,37,17.37%,0,0,0%,0,0%,24,0,0%,5,20.83%,23,0,0%,7,30.43%,166,10,6.02%,25,15.06%
1062,2025-08-25,P J Hayes,191,10,5.24%,31,16.23%,29,2,6.90%,4,13.79%,104,5,4.81%,17,16.35%,22,2,9.09%,7,31.82%,36,1,2.78%,3,8.33%
1063,2025-08-25,R J Tierney,163,3,1.84%,17,10.43%,0,0,0%,0,0%,23,0,0%,0,0%,40,1,2.50%,8,20.00%,100,2,2.00%,9,9.00%
1064,2025-08-25,R O'Neill,234,11,4.70%,80,34.19%,3,0,0%,0,0%,102,6,5.88%,34,33.33%,8,0,0%,4,50.00%,121,5,4.13%,42,34.71%
1065,2025-08-25,R H Lalor,181,7,3.87%,55,30.39%,1,0,0%,0,0%,37,2,5.41%,9,24.32%,82,4,4.88%,23,28.05%,61,1,1.64%,23,37.70%
1066,2025-08-25,Donal Commins,124,9,7.26%,16,12.90%,23,4,17.39%,2,8.70%,41,1,2.44%,4,9.76%,19,2,10.53%,6,31.58%,41,2,4.88%,4,9.76%
1067,2025-08-25,A Dickman,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1068,2025-08-25,P J Lally,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1069,2025-08-25,Andrew J Martin,354,30,8.47%,121,34.18%,13,1,7.69%,3,23.08%,39,2,5.13%,4,10.26%,153,19,12.42%,63,41.18%,149,8,5.37%,51,34.23%
1070,2025-08-25,F M O'Brien,227,22,9.69%,75,33.04%,6,0,0%,1,16.67%,17,0,0%,4,23.53%,79,14,17.72%,23,29.11%,125,8,6.40%,47,37.60%
1071,2025-08-25,Ms Johnston,5,0,0%,2,40.00%,0,0,0%,0,0%,1,0,0%,0,0%,4,0,0%,2,50.00%,0,0,0%,0,0%
1072,2025-08-25,Mrs V Keatley,25,0,0%,4,16.00%,5,0,0%,0,0%,15,0,0%,1,6.67%,0,0,0%,0,0%,5,0,0%,3,60.00%
1073,2025-08-25,G t Cuthbert,40,2,5.00%,6,15.00%,0,0,0%,0,0%,3,0,0%,0,0%,7,0,0%,0,0%,30,2,6.67%,6,20.00%
1074,2025-08-25,F M Hanley,51,5,9.80%,12,23.53%,0,0,0%,0,0%,11,0,0%,0,0%,14,1,7.14%,4,28.57%,26,4,15.38%,8,30.77%
1075,2025-08-25,T F Lacy,3,0,0%,0,0%,2,0,0%,0,0%,1,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1076,2025-08-25,E D Delany,467,25,5.35%,84,17.99%,57,0,0%,8,14.04%,186,8,4.30%,36,19.35%,29,3,10.34%,6,20.69%,195,14,7.18%,34,17.44%
1077,2025-08-25,P D Deegan,1207,107,8.86%,379,31.40%,283,29,10.25%,78,27.56%,908,76,8.37%,299,32.93%,0,0,0%,0,0%,16,2,12.50%,2,12.50%
1078,2025-08-25,E Lynam,2802,316,11.28%,896,31.98%,1004,130,12.95%,361,35.96%,1796,185,10.30%,535,29.79%,2,1,50.00%,0,0%,0,0,0%,0,0%
1079,2025-08-25,J C Hayden,157,6,3.82%,32,20.38%,8,0,0%,1,12.50%,143,6,4.20%,30,20.98%,0,0,0%,0,0%,6,0,0%,1,16.67%
1080,2025-08-25,Niall O'Callaghan,37,1,2.70%,1,2.70%,8,0,0%,0,0%,29,1,3.45%,1,3.45%,0,0,0%,0,0%,0,0,0%,0,0%
1081,2025-08-25,G M Lyons,5524,887,16.06%,2049,37.09%,1087,190,17.48%,436,40.11%,4437,697,15.71%,1613,36.35%,0,0,0%,0,0%,0,0,0%,0,0%
1082,2025-08-25,T Gibney,1702,128,7.52%,408,23.97%,81,7,8.64%,15,18.52%,412,31,7.52%,86,20.87%,393,36,9.16%,98,24.94%,816,54,6.62%,209,25.61%
1083,2025-08-25,D Marnane,2482,203,8.18%,710,28.61%,963,103,10.70%,325,33.75%,1507,100,6.64%,384,25.48%,0,0,0%,0,0%,12,0,0%,1,8.33%
1084,2025-08-25,Andrew Heffernan,93,5,5.38%,36,38.71%,22,0,0%,6,27.27%,62,4,6.45%,26,41.94%,0,0,0%,0,0%,9,1,11.11%,4,44.44%
1085,2025-08-25,F Oakes,145,6,4.14%,35,24.14%,35,2,5.71%,6,17.14%,73,3,4.11%,22,30.14%,3,0,0%,0,0%,34,1,2.94%,7,20.59%
1086,2025-08-25,Mrs M O'Connor,169,9,5.33%,36,21.30%,0,0,0%,0,0%,16,0,0%,3,18.75%,65,4,6.15%,17,26.15%,88,5,5.68%,16,18.18%
1087,2025-08-25,V T O'Brien,1208,44,3.64%,174,14.40%,3,0,0%,0,0%,132,2,1.52%,9,6.82%,297,21,7.07%,67,22.56%,776,21,2.71%,98,12.63%
1088,2025-08-25,G M Doyle,214,5,2.34%,46,21.50%,0,0,0%,0,0%,14,0,0%,0,0%,76,3,3.95%,23,30.26%,124,2,1.61%,23,18.55%
1089,2025-08-25,N Moran,192,9,4.69%,28,14.58%,34,2,5.88%,3,8.82%,73,2,2.74%,11,15.07%,22,2,9.09%,5,22.73%,63,3,4.76%,9,14.29%
1090,2025-08-25,C Nenadich,33,0,0%,4,12.12%,0,0,0%,0,0%,3,0,0%,0,0%,2,0,0%,0,0%,28,0,0%,4,14.29%
1091,2025-08-25,Frau E Meder,1,0,0%,0,0%,0,0,0%,0,0%,1,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1092,2025-08-25,J G Murphy,2086,163,7.81%,582,27.90%,220,9,4.09%,64,29.09%,1724,143,8.29%,472,27.38%,6,1,16.67%,2,33.33%,136,10,7.35%,44,32.35%
1093,2025-08-25,C A Cronin,7,0,0%,1,14.29%,0,0,0%,0,0%,0,0,0%,0,0%,7,0,0%,1,14.29%,0,0,0%,0,0%
1094,2025-08-25,James Wilkinson,29,0,0%,11,37.93%,0,0,0%,0,0%,10,0,0%,5,50.00%,8,0,0%,1,12.50%,11,0,0%,5,45.45%
1095,2025-08-25,Jason Parfitt,1,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,1,0,0%,0,0%,0,0,0%,0,0%
1096,2025-08-25,Simon Jones,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1097,2025-08-25,James Cole,6,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,6,0,0%,0,0%,0,0,0%,0,0%
1098,2025-08-25,P O'Callaghan,87,7,8.05%,28,32.18%,0,0,0%,0,0%,50,4,8.00%,16,32.00%,3,0,0%,1,33.33%,34,3,8.82%,11,32.35%
1099,2025-08-25,M A Molloy,180,15,8.33%,43,23.89%,11,0,0%,4,36.36%,69,6,8.70%,17,24.64%,4,0,0%,1,25.00%,96,9,9.38%,21,21.88%
1100,2025-08-25,M A Gunn,101,1,0.99%,22,21.78%,6,0,0%,0,0%,48,1,2.08%,9,18.75%,4,0,0%,1,25.00%,43,0,0%,12,27.91%
1101,2025-08-25,Garry Ducey,9,0,0%,0,0%,0,0,0%,0,0%,1,0,0%,0,0%,6,0,0%,0,0%,2,0,0%,0,0%
1102,2025-08-25,P Meany,425,13,3.06%,61,14.35%,4,0,0%,0,0%,187,9,4.81%,29,15.51%,22,0,0%,2,9.09%,212,4,1.89%,30,14.15%
1103,2025-08-25,D Ahern,124,2,1.61%,24,19.35%,0,0,0%,0,0%,18,0,0%,1,5.56%,25,1,4.00%,7,28.00%,81,1,1.23%,16,19.75%
1104,2025-08-25,H Fitzpatrick,33,0,0%,4,12.12%,0,0,0%,0,0%,10,0,0%,0,0%,3,0,0%,2,66.67%,20,0,0%,2,10.00%
1105,2025-08-25,Charles P Keegan,101,1,0.99%,4,3.96%,0,0,0%,0,0%,28,0,0%,0,0%,2,0,0%,0,0%,71,1,1.41%,4,5.63%
1106,2025-08-25,W W Dennis,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1107,2025-08-25,C J Price,2,0,0%,0,0%,0,0,0%,0,0%,2,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1108,2025-08-25,Mrs B Butterworth,267,15,5.62%,78,29.21%,0,0,0%,0,0%,4,0,0%,2,50.00%,46,0,0%,13,28.26%,217,15,6.91%,63,29.03%
1109,2025-08-25,D Pearson,32,2,6.25%,4,12.50%,0,0,0%,0,0%,0,0,0%,0,0%,26,2,7.69%,4,15.38%,6,0,0%,0,0%
1110,2025-08-25,T F Sage,13,3,23.08%,4,30.77%,0,0,0%,0,0%,0,0,0%,0,0%,13,3,23.08%,4,30.77%,0,0,0%,0,0%
1111,2025-08-25,B J Clarke,2,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,2,0,0%,0,0%,0,0,0%,0,0%
1112,2025-08-25,Mrs C Wilesmith,5,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,5,0,0%,0,0%,0,0,0%,0,0%
1113,2025-08-25,S E H Sherwood,6,0,0%,1,16.67%,0,0,0%,0,0%,0,0,0%,0,0%,4,0,0%,1,25.00%,2,0,0%,0,0%
1114,2025-08-25,J E Long,709,40,5.64%,197,27.79%,533,29,5.44%,157,29.46%,164,10,6.10%,38,23.17%,1,0,0%,0,0%,11,1,9.09%,2,18.18%
1115,2025-08-25,Lorna Casey,14,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,1,0,0%,0,0%,13,0,0%,0,0%
1116,2025-08-25,J W Nicholson,464,43,9.27%,152,32.76%,20,0,0%,5,25.00%,189,19,10.05%,59,31.22%,37,6,16.22%,14,37.84%,218,18,8.26%,74,33.94%
1117,2025-08-25,P M Cloke,209,9,4.31%,53,25.36%,4,0,0%,0,0%,15,0,0%,0,0%,127,9,7.09%,50,39.37%,63,0,0%,3,4.76%
1118,2025-08-25,T J Canavan,7,0,0%,0,0%,0,0,0%,0,0%,1,0,0%,0,0%,2,0,0%,0,0%,4,0,0%,0,0%
1119,2025-08-25,S Wynne,2,1,50.00%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,2,1,50.00%,0,0%,0,0,0%,0,0%
1120,2025-08-25,Mrs Corrine Wynne,1,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,1,0,0%,0,0%,0,0,0%,0,0%
1121,2025-08-25,Miss E J Lloyd,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1122,2025-08-25,A J Whitehead,112,9,8.04%,38,33.93%,0,0,0%,0,0%,0,0,0%,0,0%,16,2,12.50%,6,37.50%,96,7,7.29%,32,33.33%
1123,2025-08-25,R J Alford,10,1,10.00%,4,40.00%,0,0,0%,0,0%,0,0,0%,0,0%,10,1,10.00%,4,40.00%,0,0,0%,0,0%
1124,2025-08-25,J White,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1125,2025-08-25,R B Chanin,12,3,25.00%,5,41.67%,0,0,0%,0,0%,1,0,0%,1,100.00%,11,3,27.27%,4,36.36%,0,0,0%,0,0%
1126,2025-08-25,Miss M Taylor,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
1127,2025-08-25,P J Makin,580,48,8.28%,158,27.24%,189,9,4.76%,39,20.63%,391,39,9.97%,119,30.43%,0,0,0%,0,0%,0,0,0%,0,0%
1128,2025-08-25,Ian Prichard,19,1,5.26%,8,42.11%,0,0,0%,0,0%,0,0,0%,0,0%,19,1,5.26%,8,42.11%,0,0,0%,0,0%
1129,2025-08-25,C J Bennett,4,0,0%,2,50.00%,0,0,0%,0,0%,2,0,0%,1,50.00%,1,0,0%,1,100.00%,1,0,0%,0,0%
1130,2025-08-25,Mrs T Porter,4,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,4,0,0%,0,0%,0,0,0%,0,0%
1131,2025-08-25,D Laverty,2,0,0%,1,50.00%,0,0,0%,0,0%,0,0,0%,0,0%,2,0,0%,1,50.00%,0,0,0%,0,0%
1132,2025-08-25,Mark Campion,124,2,1.61%,21,16.94%,13,0,0%,3,23.08%,37,1,2.70%,6,16.22%,8,1,12.50%,2,25.00%,66,0,0%,10,15.15%
1133,2025-08-25,Mrs L A Coltherd,29,1,3.45%,9,31.03%,0,0,0%,0,0%,0,0,0%,0,0%,29,1,3.45%,9,31.03%,0,0,0%,0,0%
1134,2025-08-25,R H York,98,3,3.06%,11,11.22%,13,0,0%,0,0%,20,0,0%,1,5.00%,15,2,13.33%,5,33.33%,50,1,2.00%,5,10.00%
1135,2025-08-25,Mrs P N Dutfield,60,1,1.67%,13,21.67%,8,1,12.50%,0,0%,18,0,0%,0,0%,1,0,0%,0,0%,33,0,0%,13,39.39%
1136,2025-08-25,L Walshe,75,0,0%,0,0%,3,0,0%,0,0%,14,0,0%,0,0%,9,0,0%,0,0%,49,0,0%,0,0%
1137,2025-08-25,A Murray,1446,109,7.54%,352,24.34%,284,29,10.21%,86,30.28%,663,44,6.64%,137,20.66%,88,7,7.95%,30,34.09%,411,29,7.06%,99,24.09%
1138,2025-08-25,John A Supple,76,8,10.53%,11,14.47%,0,0,0%,0,0%,13,0,0%,0,0%,1,0,0%,0,0%,62,8,12.90%,11,17.74%
