Trainer_ID,UptoDate,Name,Total_races,Wins,Percentage_wins,Placed,Percentage_placed,Flat_AW_races,Flat_AW_wins,Flat_AW_rate,Flat_AW_placed,Flat_AW_placed_rate,Flat_Turf_races,Flat_Turf_wins,Flat_Turf_rate,Flat_Turf_placed,Flat_Turf_placed_rate,Chase_races,Chase_wins,Chase_rate,Chase_placed,Chase_placed_rate,Hurdle_races,Hurdle_wins,Hurdle_rate,Hurdle_placed,Hurdle_placed_rate
32,2025-08-25,A B Haynes,206,20,9.71%,32,15.53%,47,4,8.51%,4,8.51%,143,15,10.49%,25,17.48%,0,0,0%,0,0%,16,1,6.25%,3,18.75%
33,2025-08-25,B P J Baugh,990,61,6.16%,270,27.27%,594,34,5.72%,170,28.62%,381,27,7.09%,100,26.25%,0,0,0%,0,0%,15,0,0%,0,0%
34,2025-08-25,John A Harris,113,5,4.42%,17,15.04%,28,2,7.14%,4,14.29%,47,2,4.26%,4,8.51%,10,1,10.00%,0,0%,28,0,0%,9,32.14%
35,2025-08-25,R Craggs,347,29,8.36%,111,31.99%,165,21,12.73%,51,30.91%,132,7,5.30%,43,32.58%,4,0,0%,1,25.00%,46,1,2.17%,16,34.78%
36,2025-08-25,D J S Ffrench Davis,1624,128,7.88%,465,28.63%,626,44,7.03%,185,29.55%,750,68,9.07%,194,25.87%,53,4,7.55%,23,43.40%,195,12,6.15%,63,32.31%
37,2025-08-25,N J Henderson,7642,1770,23.16%,2434,31.85%,158,35,22.15%,65,41.14%,913,211,23.11%,360,39.43%,1963,458,23.33%,493,25.11%,4608,1066,23.13%,1516,32.90%
38,2025-08-25,Jonjo O'Neill,7843,1064,13.57%,2567,32.73%,117,7,5.98%,56,47.86%,726,86,11.85%,285,39.26%,2791,392,14.05%,863,30.92%,4209,579,13.76%,1363,32.38%
39,2025-08-25,W K Goldsworthy,295,18,6.10%,61,20.68%,11,0,0%,1,9.09%,48,3,6.25%,9,18.75%,71,4,5.63%,17,23.94%,165,11,6.67%,34,20.61%
40,2025-08-25,K C Bailey,3739,574,15.35%,1323,35.38%,85,15,17.65%,31,36.47%,399,62,15.54%,160,40.10%,1250,210,16.80%,416,33.28%,2005,287,14.31%,716,35.71%
41,2025-08-25,M Keighley,2905,327,11.26%,903,31.08%,75,4,5.33%,27,36.00%,332,20,6.02%,105,31.63%,943,145,15.38%,260,27.57%,1555,158,10.16%,511,32.86%
42,2025-08-25,P R Webber,1964,152,7.74%,637,32.43%,154,13,8.44%,46,29.87%,339,21,6.19%,107,31.56%,594,63,10.61%,220,37.04%,877,55,6.27%,264,30.10%
43,2025-08-25,D McCain Jnr,8413,1263,15.01%,2976,35.37%,272,28,10.29%,78,28.68%,918,135,14.71%,315,34.31%,2125,347,16.33%,666,31.34%,5098,753,14.77%,1917,37.60%
44,2025-08-25,Tim Vaughan,5503,621,11.28%,1819,33.05%,228,13,5.70%,60,26.32%,437,44,10.07%,154,35.24%,1594,207,12.99%,560,35.13%,3244,357,11.00%,1045,32.21%
45,2025-08-25,Ian Williams,8609,1014,11.78%,2746,31.90%,2578,327,12.68%,806,31.26%,3581,383,10.70%,1090,30.44%,779,117,15.02%,280,35.94%,1671,187,11.19%,570,34.11%
46,2025-08-25,H D Daly,2360,327,13.86%,802,33.98%,1,0,0%,0,0%,266,19,7.14%,100,37.59%,840,129,15.36%,275,32.74%,1253,179,14.29%,427,34.08%
47,2025-08-25,D Pipe,7149,1014,14.18%,2268,31.72%,126,8,6.35%,26,20.63%,635,112,17.64%,207,32.60%,2143,319,14.89%,634,29.58%,4245,575,13.55%,1401,33.00%
48,2025-08-25,R H Buckler,666,60,9.01%,177,26.58%,5,0,0%,3,60.00%,76,3,3.95%,15,19.74%,353,42,11.90%,100,28.33%,232,15,6.47%,59,25.43%
49,2025-08-25,N A Twiston-Davies,7385,1028,13.92%,2540,34.39%,165,16,9.70%,63,38.18%,731,94,12.86%,270,36.94%,3063,431,14.07%,984,32.13%,3426,487,14.21%,1223,35.70%
50,2025-08-25,Mrs S J Smith,3851,464,12.05%,1389,36.07%,40,3,7.50%,8,20.00%,214,10,4.67%,77,35.98%,1918,273,14.23%,729,38.01%,1679,178,10.60%,575,34.25%
51,2025-08-25,K G Reveley,1132,162,14.31%,395,34.89%,86,6,6.98%,25,29.07%,269,28,10.41%,102,37.92%,310,55,17.74%,100,32.26%,467,73,15.63%,168,35.97%
52,2025-08-25,P J Hobbs,6425,1033,16.08%,2425,37.74%,25,4,16.00%,9,36.00%,559,83,14.85%,233,41.68%,2462,386,15.68%,916,37.21%,3379,560,16.57%,1267,37.50%
53,2025-08-25,K Bishop,618,43,6.96%,140,22.65%,17,0,0%,2,11.76%,60,1,1.67%,9,15.00%,110,11,10.00%,30,27.27%,431,31,7.19%,99,22.97%
54,2025-08-25,P F Nicholls,8648,1970,22.78%,2863,33.11%,104,16,15.38%,61,58.65%,708,154,21.75%,261,36.86%,3667,820,22.36%,1054,28.74%,4169,980,23.51%,1487,35.67%
55,2025-08-25,B G Powell,2449,226,9.23%,719,29.36%,547,57,10.42%,139,25.41%,802,82,10.22%,255,31.80%,324,38,11.73%,109,33.64%,776,49,6.31%,216,27.84%
56,2025-08-25,A M Hales,2135,205,9.60%,726,34.00%,218,7,3.21%,79,36.24%,243,20,8.23%,74,30.45%,533,61,11.44%,184,34.52%,1141,117,10.25%,389,34.09%
57,2025-08-25,A King,8670,1224,14.12%,3335,38.47%,1150,134,11.65%,482,41.91%,2255,276,12.24%,852,37.78%,1507,247,16.39%,474,31.45%,3758,567,15.09%,1527,40.63%
58,2025-08-25,M F Harris,1544,210,13.60%,519,33.61%,166,10,6.02%,37,22.29%,260,38,14.62%,76,29.23%,205,30,14.63%,75,36.59%,913,132,14.46%,331,36.25%
59,2025-08-25,J L Flint,1972,173,8.77%,570,28.90%,261,9,3.45%,66,25.29%,858,78,9.09%,235,27.39%,237,24,10.13%,79,33.33%,616,62,10.06%,190,30.84%
60,2025-08-25,Paul Green,715,58,8.11%,174,24.34%,249,18,7.23%,54,21.69%,461,40,8.68%,119,25.81%,0,0,0%,0,0%,5,0,0%,1,20.00%
61,2025-08-25,D E Cantillon,371,77,20.75%,136,36.66%,126,31,24.60%,40,31.75%,127,18,14.17%,52,40.94%,22,5,22.73%,4,18.18%,96,23,23.96%,40,41.67%
62,2025-08-25,M H Tompkins,1345,79,5.87%,390,29.00%,565,44,7.79%,183,32.39%,687,31,4.51%,181,26.35%,9,0,0%,2,22.22%,84,4,4.76%,24,28.57%
63,2025-08-25,Ms E L McWilliam,1,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,1,0,0%,0,0%,0,0,0%,0,0%
64,2025-08-25,C E Longsdon,4729,661,13.98%,1619,34.24%,92,11,11.96%,30,32.61%,425,61,14.35%,148,34.82%,1912,288,15.06%,624,32.64%,2300,301,13.09%,817,35.52%
65,2025-08-25,A L T Moore,1168,97,8.30%,314,26.88%,34,0,0%,4,11.76%,229,20,8.73%,62,27.07%,481,38,7.90%,140,29.11%,424,39,9.20%,108,25.47%
66,2025-08-25,H De Bromhead,7969,1136,14.26%,2675,33.57%,266,25,9.40%,75,28.20%,1013,97,9.58%,342,33.76%,3036,482,15.88%,1043,34.35%,3654,532,14.56%,1215,33.25%
67,2025-08-25,T J Nagle-Jr,426,32,7.51%,125,29.34%,0,0,0%,0,0%,69,5,7.25%,21,30.43%,118,13,11.02%,34,28.81%,239,14,5.86%,70,29.29%
68,2025-08-25,L McAteer,282,9,3.19%,39,13.83%,80,5,6.25%,12,15.00%,185,4,2.16%,25,13.51%,11,0,0%,2,18.18%,6,0,0%,0,0%
69,2025-08-25,P Fenton,1194,110,9.21%,314,26.30%,1,0,0%,0,0%,184,20,10.87%,58,31.52%,243,28,11.52%,52,21.40%,766,62,8.09%,204,26.63%
70,2025-08-25,P J Rothwell,4934,224,4.54%,954,19.34%,77,0,0%,6,7.79%,390,8,2.05%,68,17.44%,1280,74,5.78%,310,24.22%,3185,142,4.46%,569,17.86%
71,2025-08-25,W J Burke,1238,59,4.77%,291,23.51%,10,0,0%,0,0%,156,10,6.41%,43,27.56%,323,19,5.88%,89,27.55%,749,30,4.01%,159,21.23%
72,2025-08-25,M T Moran,112,3,2.68%,16,14.29%,0,0,0%,0,0%,9,0,0%,1,11.11%,31,1,3.23%,5,16.13%,72,2,2.78%,10,13.89%
73,2025-08-25,E Doyle,2211,170,7.69%,619,28.00%,138,11,7.97%,25,18.12%,408,37,9.07%,88,21.57%,413,41,9.93%,145,35.11%,1252,81,6.47%,361,28.83%
74,2025-08-25,P A Roche,104,1,0.96%,8,7.69%,2,0,0%,0,0%,31,0,0%,0,0%,28,0,0%,3,10.71%,43,1,2.33%,5,11.63%
